232,232,232,232,232,232,232,232,232,232,905,493,238,239,241,241,241,215,241,-2147483059,232,596,232,232,232,232,232,232,232,232,232,232
232,232,232,232,232,232,232,232,232,232,905,365,270,271,241,241,241,241,241,-2147483059,232,596,566,232,232,232,232,232,232,232,232,232
232,232,232,232,232,232,232,232,232,232,935,365,215,241,241,241,241,241,241,-2147483059,232,935,232,535,232,232,232,232,232,232,232,232
232,232,232,232,232,232,232,232,232,232,967,365,241,241,241,215,241,241,241,-2147483059,232,967,597,232,232,232,232,232,232,232,232,232
232,232,232,232,232,232,232,232,232,232,999,493,241,241,335,241,241,241,241,-2147483059,232,999,232,232,232,232,232,232,232,232,232,232
232,232,232,232,232,232,232,232,232,232,21,8,8,8,8,8,8,8,8,8,8,21,232,232,232,232,232,232,232,232,232,232
232,535,232,232,232,232,610,-2147483038,232,232,53,40,40,40,40,40,40,40,40,40,40,53,232,232,232,232,232,232,232,232,232,232
566,232,232,232,232,232,232,610,232,232,85,75,75,75,75,75,75,75,75,75,75,85,232,232,232,232,232,232,232,232,232,232
566,232,232,232,232,232,232,232,232,232,117,493,241,208,-2147483345,241,241,241,-2147482867,-2147483059,232,117,232,232,232,232,232,232,232,232,232,232
566,232,232,232,232,232,232,232,232,232,905,493,241,241,208,241,241,241,303,-2147482836,232,596,232,232,232,232,232,232,232,232,232,232
232,612,1073742600,232,232,232,232,232,232,232,905,365,241,241,241,241,241,241,-2147483345,-2147482804,232,596,232,232,232,232,232,232,232,232,232,232
232,644,-2147482909,232,232,232,232,232,232,232,905,493,241,241,241,241,241,241,241,-2147483059,232,596,232,232,232,232,232,232,610,232,232,232
232,676,-2147482909,232,232,232,232,232,232,232,841,493,241,215,241,241,241,241,241,-2147483059,232,596,232,232,232,232,232,-2147483038,232,232,232,232
232,-1073741209,776,232,232,232,232,232,232,232,873,365,241,215,241,241,241,241,241,-2147483059,232,-2147482807,232,232,232,232,232,232,232,232,232,232
232,232,232,232,597,232,232,232,232,232,905,365,241,241,241,241,241,241,241,-2147483059,232,-2147482775,232,610,232,232,232,232,232,232,232,232
232,232,232,232,232,232,232,232,232,232,905,365,241,241,241,241,241,241,241,-2147483059,232,596,232,232,232,232,232,232,232,232,232,232
232,807,808,232,232,232,232,232,232,232,905,365,241,241,241,241,241,241,560,-2147483059,232,596,232,232,610,232,232,232,232,597,232,232
232,839,840,232,232,232,232,232,232,232,-2147483052,365,241,241,241,241,335,241,505,231,232,628,232,232,232,232,232,232,232,232,232,232
232,871,872,232,232,232,232,232,-2147482986,-2147482987,-2147482988,365,241,241,241,241,215,241,-2147482807,231,232,660,661,662,232,232,232,232,232,232,566,232
232,903,904,232,632,632,634,632,-2147482954,-2147482955,-2147482956,493,241,241,241,241,241,241,-2147482775,231,232,692,693,694,-2147483016,634,632,-2147483016,232,232,232,232
660,661,662,663,664,665,666,667,-2147482922,-2147482923,-2147482924,493,241,241,241,241,241,241,-2147483059,231,232,724,725,726,-2147482981,-2147482982,-2147482983,-2147482984,-2147482985,-2147482986,-2147482987,-2147482988
692,693,694,695,696,697,698,699,-2147482890,-2147482891,-2147482892,525,241,241,241,241,241,241,-2147482867,231,232,756,757,758,-2147482949,-2147482950,-2147482951,-2147482952,-2147482953,-2147482954,-2147482955,-2147482956
724,725,726,727,728,729,730,731,-2147482858,-2147482859,-2147482699,589,241,241,215,241,241,241,303,-2147482836,232,788,789,790,-2147482917,-2147482918,-2147482919,-2147482920,-2147482921,-2147482922,-2147482923,-2147482924
756,757,758,759,760,761,762,763,-2147482826,-2147482699,-2147482700,589,241,241,335,241,241,241,241,-2147482804,232,949,821,822,-2147482885,-2147482886,-2147482887,-2147482888,-2147482889,-2147482890,-2147482891,-2147482892
788,789,790,791,792,793,794,795,796,231,231,589,241,241,241,241,241,241,241,-2147483059,232,231,-2147482851,-2147482852,-2147482853,-2147482854,-2147482855,-2147482856,-2147482857,-2147482858,-2147482859,-2147482860
820,821,822,823,824,825,826,827,828,829,232,589,241,241,241,241,241,241,241,-2147483059,232,232,-2147482819,-2147482820,-2147482821,-2147482822,-2147482823,-2147482824,-2147482825,-2147482826,-2147482827,-2147482828
130,131,132,133,134,135,136,137,232,232,232,589,241,241,335,241,241,241,241,-2147483059,232,232,232,232,-2147483511,-2147483512,-2147483513,-2147483514,-2147483515,-2147483516,-2147483517,-2147483518
232,232,232,232,232,232,232,232,232,232,232,589,241,241,241,241,241,241,241,-2147483059,232,232,232,232,232,232,232,232,232,566,232,232
232,232,232,232,232,232,232,232,232,232,232,589,241,241,241,241,335,241,241,-2147482867,-2147483059,232,232,566,232,232,232,232,232,232,232,232
232,232,232,232,232,232,232,232,232,232,232,589,241,241,241,215,241,241,241,215,-2147482836,232,232,232,232,535,232,232,232,232,232,232
232,232,232,232,232,232,232,232,232,232,232,589,241,241,241,215,241,241,241,241,-2147482836,232,232,232,232,232,232,232,232,232,232,232
232,232,232,232,232,232,232,232,232,232,232,589,241,241,241,241,241,241,241,241,-2147482804,232,232,232,232,232,232,232,232,232,232,232
